order_dow,order_hour_of_day,total_line_items,reorder_count,reorder_rate_pct
0,0,38876,22412,57.65
0,1,22523,12428,55.18
0,2,12725,7028,55.23
0,3,8851,5040,56.94
0,4,8372,4576,54.66
0,5,11631,6900,59.32
0,6,34987,21779,62.25
0,7,133394,85299,63.95
0,8,306499,192036,62.65
0,9,441291,268097,60.75
0,10,516141,303979,58.89
0,11,535733,309466,57.76
0,12,535283,307781,57.5
0,13,558414,322552,57.76
0,14,564896,324980,57.53
0,15,552066,319204,57.82
0,16,501608,288562,57.53
0,17,395706,225555,57.0
0,18,284521,162991,57.29
0,19,217348,126487,58.2
0,20,183830,109427,59.53
0,21,153142,92987,60.72
0,22,120829,72333,59.86
0,23,71000,42467,59.81
1,0,37114,21859,58.9
1,1,18296,10851,59.31
1,2,10817,6037,55.81
1,3,7114,4080,57.35
1,4,7673,4576,59.64
1,5,14422,9029,62.61
1,6,52778,34784,65.91
1,7,165442,111106,67.16
1,8,333337,220660,66.2
1,9,506145,329573,65.11
1,10,550246,344753,62.65
1,11,509672,310065,60.84
1,12,463010,274465,59.28
1,13,457462,269406,58.89
1,14,453192,267363,59.0
1,15,442884,258240,58.31
1,16,418567,242442,57.92
1,17,337898,195847,57.96
1,18,259447,148805,57.35
1,19,199124,113570,57.03
1,20,152130,87854,57.75
1,21,119965,69816,58.2
1,22,91849,53034,57.74
1,23,57272,33070,57.74
2,0,29914,16883,56.44
2,1,14711,8210,55.81
2,2,8339,4702,56.39
2,3,7026,4067,57.88
2,4,6802,3828,56.28
2,5,12749,7791,61.11
2,6,43816,28050,64.02
2,7,122480,78706,64.26
2,8,224049,141799,63.29
2,9,329222,204744,62.19
2,10,359981,217247,60.35
2,11,352692,207688,58.89
2,12,329424,191109,58.01
2,13,334534,193890,57.96
2,14,335112,195316,58.28
2,15,334071,193578,57.95
2,16,330935,192874,58.28
2,17,277631,159073,57.3
2,18,226826,130010,57.32
2,19,170807,98006,57.38
2,20,130896,74174,56.67
2,21,102845,59667,58.02
2,22,80319,45893,57.14
2,23,52617,30232,57.46
3,0,27525,15197,55.21
3,1,13563,7281,53.68
3,2,8666,4677,53.97
3,3,5777,3174,54.94
3,4,6840,3785,55.34
3,5,11739,7092,60.41
3,6,40952,25850,63.12
3,7,110704,71148,64.27
3,8,198423,123222,62.1
3,9,278169,170488,61.29
3,10,313470,186192,59.4
3,11,310914,181547,58.39
3,12,296411,170822,57.63
3,13,302737,175266,57.89
3,14,304323,174533,57.35
3,15,314270,182561,58.09
3,16,306396,177095,57.8
3,17,261109,150976,57.82
3,18,213278,122792,57.57
3,19,164340,94622,57.58
3,20,122269,70756,57.87
3,21,100592,58452,58.11
3,22,81471,47591,58.41
3,23,50179,28579,56.95
4,0,24719,13793,55.8
4,1,13530,7281,53.81
4,2,7979,4355,54.58
4,3,6330,3544,55.99
4,4,6923,4036,58.3
4,5,12009,7264,60.49
4,6,39837,25442,63.87
4,7,113505,72285,63.68
4,8,194150,121014,62.33
4,9,270028,164364,60.87
4,10,305967,181950,59.47
4,11,300867,176590,58.69
4,12,289411,167840,57.99
4,13,293573,171581,58.45
4,14,296995,173462,58.41
4,15,299368,175409,58.59
4,16,298254,174415,58.48
4,17,254090,149001,58.64
4,18,207526,121056,58.33
4,19,169011,98250,58.13
4,20,130612,77346,59.22
4,21,108393,64508,59.51
4,22,89471,52198,58.34
4,23,54667,31182,57.04
5,0,29520,16239,55.01
5,1,14962,8208,54.86
5,2,9518,5355,56.26
5,3,8325,4548,54.63
5,4,8738,5155,59.0
5,5,14731,9090,61.71
5,6,46289,29212,63.11
5,7,128870,81509,63.25
5,8,224154,139328,62.16
5,9,315025,194372,61.7
5,10,355546,214975,60.46
5,11,353843,209770,59.28
5,12,333738,194805,58.37
5,13,336470,197744,58.77
5,14,345980,205953,59.53
5,15,343146,204581,59.62
5,16,327197,194990,59.59
5,17,270656,159216,58.83
5,18,217743,125393,57.59
5,19,166974,95316,57.08
5,20,126001,73777,58.55
5,21,99214,59109,59.58
5,22,78852,46666,59.18
5,23,54041,31338,57.99
6,0,31280,17432,55.73
6,1,18201,10247,56.3
6,2,11390,6344,55.7
6,3,7898,4261,53.95
6,4,7935,4479,56.45
6,5,10781,6371,59.09
6,6,32136,19973,62.15
6,7,117542,74776,63.62
6,8,239361,148762,62.15
6,9,316833,190170,60.02
6,10,363075,210411,57.95
6,11,374861,213310,56.9
6,12,373570,211456,56.6
6,13,380102,214026,56.31
6,14,391050,222990,57.02
6,15,378728,213822,56.46
6,16,354501,197868,55.82
6,17,292375,161302,55.17
6,18,228582,128198,56.08
6,19,171797,96932,56.42
6,20,131300,75563,57.55
6,21,112219,65861,58.69
6,22,91943,53769,58.48
6,23,62844,36512,58.1
