product_name,total_orders,reorder_count,reorder_rate_pct
Chocolate Love Bar,101,93,92.08
Maca Buttercups,100,90,90.0
Benchbreak Chardonnay,111,99,89.19
Fragrance Free Clay with Natural Odor Eliminator Cat Litter,129,113,87.6
Thousand Island Salad Snax,112,98,87.5
Real2 Alkalized Water 500 ml,451,389,86.25
Half And Half Ultra Pasteurized,2921,2517,86.17
Whole Organic Omega 3 Milk,9108,7835,86.02
Organic Lactose Free Whole Milk,8477,7282,85.9
Organic Homogenized Whole Milk,3970,3405,85.77
Ultra-Purified Water,1489,1277,85.76
Coffee Flavor Yogurt,112,96,85.71
Lo-Carb Energy Drink,467,400,85.65
"Milk, Organic, Vitamin D",20198,17256,85.43
Organic Reduced Fat Milk,35663,30338,85.07
Goat Milk,5185,4407,85.0
Homestyle Orange Juice,311,264,84.89
Raw Whole Milk,237,201,84.81
Alimentum Infant Formula,111,94,84.68
"Purified Water, 9.5pH+",313,264,84.35
